Acquisitions ID,Child,Parent,Year Acquired,Deal Date,Price,Status,Terms,Acquisition Profile,News,News Link,Location,City,symbol,Industry
BlackBerry acquired Certicom in 2009,Certicom,BlackBerry,2009,24/03/2009,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/20f44762c8dbbc817d86fb452628bcbf,Research In Motion Completes Acquisition of Certicom - Press Releases,http://press.blackberry.com/press/2009/pressrelease-2187.html,USA,Unknown,BB,Consumer Services
BlackBerry acquired Chalk in 2008,Chalk,BlackBerry,2008,11/12/2008,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/23a683ddb7553f894b3632c116eb6af0,RIM to Acquire Chalk Media Corp. - Press Releases,http://press.blackberry.com/press/2008/pressrelease-1930.html,USA,Unknown,BB,Consumer Services
BlackBerry acquired Dash in 2009,Dash,BlackBerry,2009,4/06/2009,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/405289c7debcc9c5ba25e83bf4107880,,,USA,Unknown,BB,Consumer Services
BlackBerry acquired Epoch Integration in 2006,Epoch Integration,BlackBerry,2006,22/11/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/59c0a05eee19eb359cd3dfff18286746,RIM buys Epoch Integration | BlackBerry Cool,http://www.blackberrycool.com/2006/11/22/rim-buys-epoch-integration/,USA,Unknown,BB,Consumer Services
BlackBerry acquired Fastmobile in 2007,Fastmobile,BlackBerry,2007,15/11/2007,Undisclosed amount,Complete,Undisclosed,http://www.crunchbase.com/acquisition/4e2148df57f0eb240b3fa0bbf1cdf028,,,USA,Unknown,BB,Consumer Services
BlackBerry acquired Gist in 2011,Gist,BlackBerry,2011,14/02/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/0a18b23916e1587c0018ebb275631c0c,Research In Motion Acquires Professional Contact Manager Gist | TechCrunch,http://techcrunch.com/2011/02/14/rim-acquires-professional-contact-manager-gist/,USA,Unknown,BB,Consumer Services
BlackBerry acquired JayCut in 2011,JayCut,BlackBerry,2011,23/07/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/c00b6462d26f88a3c0f34b179e625825,RIM buys video-editing vendor JayCut,http://www.pcworld.idg.com.au/article/394710/rim_buys_video-editing_vendor_jaycut/,USA,Unknown,BB,Consumer Services
BlackBerry acquired LiveProfile in 2011,LiveProfile,BlackBerry,2011,1/10/2011,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/c76d6952b831a343357fb75d05ff50ec,Blackberry acquired LiveProfile,http://www.google.nl/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=0CDkQtwIwAQ&url=http%3A%2F%2Flsvp.com%2Fcompany%2Fliveprofile%2F&ei=yPw9U6H2HoWR0AXiw4CIAQ&usg=AFQjCNEssjVwqqEtxaAxZy-2TywnZ3U86A&bvm=bv.64125504d.d2k,USA,Unknown,BB,Consumer Services
BlackBerry acquired Movirtu in 2014,Movirtu,BlackBerry,2014,11/09/2014,Undisclosed amount,Pending,Undisclosed,http://www.crunchbase.com/acquisition/18d7b8fc491e0b61bf0979631d939d16,BlackBerry buys UK mobile technology start-up Movirtu,http://www.reuters.com/article/2014/09/11/us-blackberry-m-a-idUSKBN0H61GC20140911?feedType=RSS&feedName=technologyNews,USA,Unknown,BB,Consumer Services
BlackBerry acquired NewBay in 2011,NewBay,BlackBerry,2011,7/10/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2093c56527df3cbddc3d5dc717c1b241,Research In Motion Buys NewBay For Reported $100M,http://www.forbes.com/sites/ericsavitz/2011/10/07/research-in-motion-buys-newbay-for-reported-100m/,USA,Unknown,BB,Consumer Services
BlackBerry acquired Paratek in 2012,Paratek,BlackBerry,2012,9/03/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/203dff267a26a6bb23130deda6d3a090,RIM Acquires Paratek to Gain Mobile-Phone Radio Technology,http://www.bloomberg.com/news/2012-03-08/rim-acquires-paratek-to-gain-mobile-phone-radio-technology.html,USA,Unknown,BB,Consumer Services
BlackBerry acquired QNX Software Systems in 2010,QNX Software Systems,BlackBerry,2010,8/06/2010,"$200,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/749316b852d535c07f84374473714767,Blackberry acquired QNX Software Systems,http://www.freshnews.com/news/339247/harman-announces-successful-conclusion-200m-sale-qnx-software-unit,USA,Unknown,BB,Consumer Services
BlackBerry acquired Scoreloop in 2011,Scoreloop,BlackBerry,2011,7/06/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/300421a0ae6e6e1cb62c4feff33f02b9,Blackberry acquired Scoreloop,http://paidcontent.org/article/419-rim-buys-scoreloop-to-grow-in-house-social-gaming-expertise/,USA,Unknown,BB,Consumer Services
BlackBerry acquired Secusmart in 2014,Secusmart,BlackBerry,2014,29/07/2014,Undisclosed amount,Pending,Undisclosed,http://www.crunchbase.com/acquisition/484a1fd74093a71da5c8b3556128640d,BlackBerry Snags German Voice Encryption Firm Secusmart But Years Too Late | TechCrunch,http://techcrunch.com/2014/07/29/blackberry-snags-german-voice-encryption-firm-secusmart-but-years-too-late/,USA,Unknown,BB,Consumer Services
BlackBerry acquired SlipStream Data in 2006,SlipStream Data,BlackBerry,2006,15/07/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/d3155b5e4d791c39e061ab82a9470c9b,RIM purchases SlipStream | BlackBerry Cool,http://www.blackberrycool.com/2006/07/15/rim-purchases-slipstream/,USA,Unknown,BB,Consumer Services
BlackBerry acquired TAT - The Astonishing Tribe in 2010,TAT - The Astonishing Tribe,BlackBerry,2010,2/12/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/68f94d9deb15e421eb491f3004f44583,RIM welcomes TAT! | Inside BlackBerry,http://blogs.blackberry.com/2010/12/rim-welcomes-tat/,USA,Unknown,BB,Consumer Services
BlackBerry acquired TinyHippos in 2011,TinyHippos,BlackBerry,2011,26/03/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/a35fbd227e4e2f1dac22e3a3af5cb8d5,RIM Buys Developer Of HTML5 Mobile App Testing Platform TinyHippos | TechCrunch,http://techcrunch.com/2011/03/26/rim-buys-developer-of-html5-mobile-app-testing-platform-tinyhippos/,USA,Unknown,BB,Consumer Services
BlackBerry acquired Torch Mobile in 2009,Torch Mobile,BlackBerry,2009,24/08/2009,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/dc148c00c5f8bf4f12eb6ac4a7360490,Blackberry acquired Torch Mobile,http://www.businessinsider.com/rim-buys-mobile-shttp://www.businessweek.com/ap/financialnews/D9A9D6NO0.htm,USA,Unknown,BB,Consumer Services
BlackBerry acquired Tungle.me in 2011,Tungle.me,BlackBerry,2011,27/04/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/feb5ccd579dae2ce4c405f5c191920e1,RIM Acquires Social Calendaring Application Tungle.Me | TechCrunch,http://techcrunch.com/2011/04/27/rim-acquires-social-calendaring-application-tungle-me/,USA,Unknown,BB,Consumer Services
BlackBerry acquired Ubitexx in 2011,Ubitexx,BlackBerry,2011,2/05/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/dd337e3ed2aff5a165e6d3ebae268e75,RIM Acquires Smartphone Security Software Developer Ubitexx | TechCrunch,http://techcrunch.com/2011/05/02/rim-acquires-smartphone-security-software-developer-ubitexx/,USA,Unknown,BB,Consumer Services
BlackBerry acquired Viigo in 2010,Viigo,BlackBerry,2010,26/03/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/84d722a628d2f3357c77d36e4d8354c7,Blackberry acquired Viigo,http://paidcontent.org/article/419-rim-acquires-blackberry-app-maker-viigo/,USA,Unknown,BB,Consumer Services
Cisco acquired Active Voice Corporation in 2000,Active Voice Corporation,Cisco Systems,2000,10/11/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/0de67ffb723c54548a59728073f2c468,Cisco acquired Active Voice Corporation,http://newsroom.cisco.com/dlls/fspnisapi750a.html,USA,Unknown,CSCO,Technology
Cisco acquired Actona Technologies in 2004,Actona Technologies,Cisco Systems,2004,29/06/2004,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/493f0778ae121d1c0af9e0a8393bfcea,Cisco acquired Actona Technologies,http://newsroom.cisco.com/dlls/2004/corp_062904.html?CMP=ILC-001,USA,Unknown,CSCO,Technology
Cisco acquired Airespace in 2005,Airespace,Cisco Systems,2005,23/03/2005,"$450,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/40ae4771a075e37eb74fc33f9eddebe1,Cisco nets Airespace for $450 million,http://www.networkworld.com/news/2005/0112ciscoaire.html,USA,Unknown,CSCO,Technology
Cisco acquired Aironet Wireless Communications in 1999,Aironet Wireless Communications,Cisco Systems,1999,9/11/1999,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2d0d9e82d213d4973b69bca4de8f9a81,Cisco acquired Aironet Wireless Communications,http://newsroom.cisco.com/dlls/fspnisapif0c8.html,USA,Unknown,CSCO,Technology
Cisco acquired Allegro Systems in 2001,Allegro Systems,Cisco Systems,2001,27/07/2001,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/5e5dd403b3cc5b46baa57ac22e0347a1,Cisco acquired Allegro Systems,http://newsroom.cisco.com/dlls/corp_072701.html,USA,Unknown,CSCO,Technology
Cisco acquired Altiga Networks in 2000,Altiga Networks,Cisco Systems,2000,19/01/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/934b1d16c4e20b718cc54b0834439e23,Cisco acquired Altiga Networks,http://newsroom.cisco.com/dlls/fspnisapi56bb.html,USA,Unknown,CSCO,Technology
Cisco acquired American Internet Corporation in 1998,American Internet Corporation,Cisco Systems,1998,21/08/1998,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/20f543d74abcc378c019f9117ec2375c,Cisco acquired American Internet Corporation,http://newsroom.cisco.com/dlls/fspnisapi8079.html,USA,Unknown,CSCO,Technology
Cisco acquired Amteva Technologies in 1999,Amteva Technologies,Cisco Systems,1999,28/04/1999,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/479d85d3a561f42d0901f06a4ee7bf3b,Cisco acquired Amteva Technologies,http://newsroom.cisco.com/dlls/fspnisapi2881.html,USA,Unknown,CSCO,Technology
Cisco acquired Andiamo Systems in 2002,Andiamo Systems,Cisco Systems,2002,20/08/2002,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/8732fc35e6e00d6c4f208debbff1e6fb,Cisco acquired Andiamo Systems,http://newsroom.cisco.com/dlls/corp_082002.html,USA,Unknown,CSCO,Technology
Cisco acquired Arch Rock Corporation in 2010,Arch Rock Corporation,Cisco Systems,2010,2/09/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/92ef48ff827fe300df15cc44a00f4b98,Cisco Announces Intent to Acquire Arch Rock - The Network: Cisco's Technology News Site,http://newsroom.cisco.com/dlls/2010/corp_090210.html,USA,Unknown,CSCO,Technology
Cisco acquired Ardent Communications in 1997,Ardent Communications,Cisco Systems,1997,24/06/1997,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/a1b1abc86bb06d57d17b653fdf15b662,Cisco acquired Ardent Communications,http://newsroom.cisco.com/dlls/fspnisapie20a.html,USA,Unknown,CSCO,Technology
Cisco acquired ArrowPoint Communications in 2000,ArrowPoint Communications,Cisco Systems,2000,5/05/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/9e71c48c454c8ea6adfcc2b489ddb44d,Cisco acquired ArrowPoint Communications,http://newsroom.cisco.com/dlls/fspnisapi0cc4.html,USA,Unknown,CSCO,Technology
Cisco acquired Arroyo Video Solutions in 2006,Arroyo Video Solutions,Cisco Systems,2006,21/08/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/15482d24daa89e216a7ab53d000eb95a,Cisco acquired Arroyo Video Solutions,http://newsroom.cisco.com/dlls/2006/corp_082106.html?sid=BAC-TS01,USA,Unknown,CSCO,Technology
Cisco acquired Atlantech Technologies in 2000,Atlantech Technologies,Cisco Systems,2000,1/03/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/11f60a5957e5c80fc952b138e0a7d7ad,Cisco acquired Atlantech Technologies,http://newsroom.cisco.com/dlls/fspnisapi78cf.html,USA,Unknown,CSCO,Technology
Cisco acquired Audium in 2006,Audium,Cisco Systems,2006,8/06/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/87698c43cd770c5b132626cc61bd024b,Cisco acquired Audium,http://newsroom.cisco.com/dlls/2006/corp_060806c.html?CMP=ILC-001,USA,Unknown,CSCO,Technology
Cisco acquired AuroraNetics in 2000,AuroraNetics,Cisco Systems,2000,11/07/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e924eec9f857b571adaea91f20494227,Cisco acquired AuroraNetics,http://newsroom.cisco.com/dlls/corp_071101.html,USA,Unknown,CSCO,Technology
Cisco acquired Avisena in 2006,Avisena,Cisco Systems,2006,27/02/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/cce09d68b3881a805e3b00ead5c77cad,News - CNET,http://www.cnet.com/news/,USA,Unknown,CSCO,Technology
Cisco acquired AYR Networks in 2002,AYR Networks,Cisco Systems,2002,25/07/2002,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/964d3c02f3003172092a36f2e3501acc,Cisco acquired AYR Networks,http://newsroom.cisco.com/dlls/corp_072502.html,USA,Unknown,CSCO,Technology
Cisco acquired BCN Systems in 2004,BCN Systems,Cisco Systems,2004,9/12/2004,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/273c422f924d3c02f61250483caf5c83,Cisco acquired BCN Systems,http://newsroom.cisco.com/dlls/2004/corp_120904.html,USA,Unknown,CSCO,Technology
Cisco acquired BNI Video in 2011,BNI Video,Cisco Systems,2011,20/10/2011,"$99,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/ba30bc9726f86bd84fefa1ab87be569c,Cisco acquires BNI Video for $99M,http://venturebeat.com/2011/10/20/cisco-buys-bni-video-99-million/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29,USA,Unknown,CSCO,Technology
Cisco acquired BroadWare Technologies in 2007,BroadWare Technologies,Cisco Systems,2007,22/05/2007,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/231dab5a7c1822533da94c36786faa01,Cisco buys IP-based video surveillance company BroadWare,http://venturebeat.com/2007/05/22/cisco-buys-ip-based-video-surveillance-company-broadware/,USA,Unknown,CSCO,Technology
Cisco acquired CAIS Software Solutions in 2000,CAIS Software Solutions,Cisco Systems,2000,20/10/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/51671911024e3e8e20bee3fdae705fa4,Cisco acquired CAIS Software Solutions,http://newsroom.cisco.com/dlls/fspnisapi679c.html,USA,Unknown,CSCO,Technology
Cisco acquired CALISTA in 1999,CALISTA,Cisco Systems,1999,16/08/1999,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/29fc0e1266dcfa36ef54b4546f372dd8,Cisco acquired CALISTA,http://newsroom.cisco.com/dlls/fspnisapi28cb.html,USA,Unknown,CSCO,Technology
Cisco acquired Cariden Technologies in 2012,Cariden Technologies,Cisco Systems,2012,29/11/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/814a1c3e7d459d3a328e05961c0a697c,Cisco Announces Intent to Acquire Cariden - The Network: Cisco's Technology News Site,http://newsroom.cisco.com/release/1110478,USA,Unknown,CSCO,Technology
Cisco acquired Cerent in 1999,Cerent,Cisco Systems,1999,26/08/1999,"$7,400,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/f462e28b0de1b17bef6bc0e5eb28cfb2,Cisco buys Cerent Monterey Networks - CNET News,http://news.cnet.com/Cisco-buys-Cerent-Monterey-Networks/2100-1033_3-230304.html,USA,Unknown,CSCO,Technology
Cisco acquired Clarity Wireless in 1998,Clarity Wireless,Cisco Systems,1998,15/09/1998,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/c8256eac682a97e732d7a342f3edc27b,Cisco acquired Clarity Wireless,http://newsroom.cisco.com/dlls/fspnisapi0aa2.html,USA,Unknown,CSCO,Technology
Cisco acquired CLASS Data Systems in 1998,CLASS Data Systems,Cisco Systems,1998,4/05/1998,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/701ae03b379f857d5cd982f3f7fe3561,Cisco acquired CLASS Data Systems,http://newsroom.cisco.com/dlls/corp_050498.html,USA,Unknown,CSCO,Technology
Cisco acquired ClearAccess in 2012,ClearAccess,Cisco Systems,2012,29/03/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/dce4d1dced37319fe2cc68de4492da0f,Cisco acquired ClearAccess,http://news.yahoo.com/cisco-acquires-network-software-maker-clearaccess-162053970.html,USA,Unknown,CSCO,Technology
Cisco acquired Cloupia in 2012,Cloupia,Cisco Systems,2012,15/11/2012,"$125,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ddb66fc7a33a7acc107439e814362092,Cisco Acquires Cloud Management Company Cloupia For $125 Million | TechCrunch,http://techcrunch.com/2012/11/15/cisco-acquires-cloud-management-company-cloupia-for-125-million/,USA,Unknown,CSCO,Technology
Cisco acquired Cocom in 1999,Cocom,Cisco Systems,1999,15/09/1999,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/58de0d658f0764992389c77e3cf3e2a0,Cisco acquired Cocom,http://newsroom.cisco.com/dlls/fspnisapi6cdf.html,USA,Unknown,CSCO,Technology
Cisco acquired Cognio in 2007,Cognio,Cisco Systems,2007,18/09/2007,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e9c917fd0e5e74c3d6df30c5c7eeb713,Cisco acquired Cognio,http://newsroom.cisco.com/dlls/2007/corp_091807.html?CMP=ILC-001,USA,Unknown,CSCO,Technology
Cisco acquired Cognitive Security in 2013,Cognitive Security,Cisco Systems,2013,29/01/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/b06fb5117aa8f5e7299d6d77b7cbde74,Cisco Acquires Czech Republic’s Cognitive Security,http://allthingsd.com/20130129/cisco-acquires-czech-republics-cognitive-security/,USA,Unknown,CSCO,Technology
Cisco acquired Collaborate.com in 2013,Collaborate.com,Cisco Systems,2013,17/12/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/fe0d9252c714e48e162dd34e6d5a7647,Cisco Announces Acquisition of Collaborate.com,http://www.cisco.com/web/about/ac49/ac0/ac1/ac259/collaborate.html?utm_source=hs_email&utm_medium=email&utm_content=11439566&_hsenc=p2ANqtz--2vrF_5Ympraja15DMZiCWUQt4uy3_NPfsEpoId9EczvSrn7CEgZjMYEdVLdT6a-uV-bqjUNZwjPlcUn9h-RWngx-U5Q&_hsmi=11439566,USA,Unknown,CSCO,Technology
Cisco acquired Combinet in 1995,Combinet,Cisco Systems,1995,10/08/1995,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/d8f88bc080f1379ae35e84772445f64e,Cisco to Acquire Combinet Inc. - The Network: Cisco's Technology News Site,http://newsroom.cisco.com/dlls/1995/corp_081095.html,USA,Unknown,CSCO,Technology
Cisco acquired Compatible Systems in 2000,Compatible Systems,Cisco Systems,2000,19/01/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e2ff20bf869840daaee5da1d9f31b02c,Cisco acquired Compatible Systems,http://newsroom.cisco.com/dlls/fspnisapi56bb.html,USA,Unknown,CSCO,Technology
Cisco acquired Composite Software in 2013,Composite Software,Cisco Systems,2013,20/06/2013,"$180,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/9dc2db4587ecc715c248124e4fb2249d,Cisco to acquire Composite Software for $180M | ZDNet,http://www.zdnet.com/cisco-to-acquire-composite-software-for-180m-7000017085/,USA,Unknown,CSCO,Technology
Cisco acquired CoreOptics in 2010,CoreOptics,Cisco Systems,2010,20/05/2010,"$99,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/67e7c8835fa50884221218ff17ac838e,Cisco acquired CoreOptics,http://techcrunch.com/2010/05/20/cisco-pays-99-million-in-cash-for-optical-networking-firm-coreoptics/,USA,Unknown,CSCO,Technology
Cisco acquired Crescendo Communications in 1993,Crescendo Communications,Cisco Systems,1993,24/09/1993,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/c11d12a37f895b1aad21c4417c00f72d,Cisco Systems Finalizes Agreement to Acquire Crescendo Communications - The Network: Cisco's Technology News Site,http://newsroom.cisco.com/dlls/1993/corp_092493.html,USA,Unknown,CSCO,Technology
Cisco acquired DAGAZ Technologies in 1997,DAGAZ Technologies,Cisco Systems,1997,2/09/1997,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/9c17a86b19aa074c2e38ae24909f5987,Cisco acquired DAGAZ Technologies,http://newsroom.cisco.com/dlls/fspnisapi1e2f.html,USA,Unknown,CSCO,Technology
Cisco acquired DiviTech A/S in 2008,DiviTech A/S,Cisco Systems,2008,10/06/2008,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/cf94332fc80da004692f48da23d8e4f2,Cisco Announces Definitive Agreement to Acquire DiviTech - The Network: Cisco's Technology News Site,http://newsroom.cisco.com/dlls/2008/corp_061008.html,USA,Unknown,CSCO,Technology
Cisco acquired DVN in 2009,DVN,Cisco Systems,2009,2/11/2009,"$44,500,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/d044c35d142d31a69cc10fe062582e6f,Cisco Announces Agreement to Acquire DVN Set-Top Box Business,http://www.cisco.com/web/about/ac49/ac0/ac1/ac259/dvn.html,USA,Unknown,CSCO,Technology
Cisco acquired DynamicSoft in 2004,DynamicSoft,Cisco Systems,2004,13/09/2004,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/c9298e8252652b1672e0d94a570a9327,Cisco acquired DynamicSoft,http://newsroom.cisco.com/dlls/2004/corp_091304.html,USA,Unknown,CSCO,Technology
Cisco acquired ExiO Communications in 2000,ExiO Communications,Cisco Systems,2000,14/12/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/47786fbb27d409c233b8cdba1f5fc75b,Cisco acquired ExiO Communications,http://newsroom.cisco.com/dlls/fspnisapi111a.html,USA,Unknown,CSCO,Technology
Cisco acquired Extend Media in 2010,Extend Media,Cisco Systems,2010,26/08/2010,"$80,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/04ada1034479ee8ce8f144f3eb7ce683,Cisco acquired Extend Media,http://paidcontent.org/article/419-cisco-buys-online-video-distributor-extendmedia/,USA,Unknown,CSCO,Technology
Cisco acquired Fast Data Technology in 2008,Fast Data Technology,Cisco Systems,2008,1/05/2008,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/088bcf8072a0dd683d29674725b10145,,,USA,Unknown,CSCO,Technology
Cisco acquired Fibex Systems in 1999,Fibex Systems,Cisco Systems,1999,8/04/1999,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/4e3af7bb04fa7a647d24b432fd36a4ac,Cisco Systems to Acquire Fibex Systems and Sentient Networks - The Network: Cisco's Technology News Site,http://newsroom.cisco.com/dlls/fspnisapi6f85.html,USA,Unknown,CSCO,Technology
Cisco acquired FineGround Networks in 2005,FineGround Networks,Cisco Systems,2005,26/05/2005,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/b32306537a2c8db0918cb17bdcbd14b6,Cisco acquired FineGround Networks,http://newsroom.cisco.com/dlls/2005/corp_052605.html?CMP=ILC-001,USA,Unknown,CSCO,Technology
Cisco acquired FiveAcross in 2007,FiveAcross,Cisco Systems,2007,8/02/2007,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/df71deac5eafe14f82b6f10550f21bda,Cisco dives into Web 2.0 buys Five Across,http://venturebeat.com/2007/02/08/cisco-dives-into-web-20-buys-five-across/,USA,Unknown,CSCO,Technology
Cisco acquired GeoTel Communications in 1999,GeoTel Communications,Cisco Systems,1999,13/04/1999,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/61cd253e982e91ac94df4840f256c2b2,Cisco acquired GeoTel Communications,http://newsroom.cisco.com/dlls/fspnisapi5186.html,USA,Unknown,CSCO,Technology
Cisco acquired Global Internet Software Group in 1997,Global Internet Software Group,Cisco Systems,1997,24/06/1997,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/616ffe50f8825e4f3f7c4a30fae80f19,Cisco acquired Global Internet Software Group,http://newsroom.cisco.com/dlls/fspnisapi0646.html,USA,Unknown,CSCO,Technology
Cisco acquired Grand Junction Networks in 1995,Grand Junction Networks,Cisco Systems,1995,6/11/1995,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/6eed28859370a259c564244238b600d7,Cisco acquired Grand Junction Networks,http://newsroom.cisco.com/dlls/1995/corp_110695.html,USA,Unknown,CSCO,Technology
Cisco acquired Greenfield Networks in 2006,Greenfield Networks,Cisco Systems,2006,13/11/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/eaeef3dd3c714ccf78e890b3aa4444bf,Cisco acquired Greenfield Networks,http://newsroom.cisco.com/dlls/2006/corp_111306.html?CMP=ILC-001,USA,Unknown,CSCO,Technology
Cisco acquired Growth Networks in 2000,Growth Networks,Cisco Systems,2000,16/02/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/298fec67d2b5f484af1606e04cfbd7c5,Cisco acquired Growth Networks,http://newsroom.cisco.com/dlls/fspnisapi3cd4.html,USA,Unknown,CSCO,Technology
Cisco acquired Hammerhead Networks in 2002,Hammerhead Networks,Cisco Systems,2002,1/05/2002,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2072a5503273394d595108fefdf33c40,Cisco Systems to Acquire Hammerhead Networks and Navarro Networks - The Network: Cisco's Technology News Site,http://newsroom.cisco.com/dlls/corp_050102.html,USA,Unknown,CSCO,Technology
Cisco acquired HyNEX in 2000,HyNEX,Cisco Systems,2000,5/06/2000,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/66ea01e14bf2782ef0e9ffc886422aef,Cisco acquired HyNEX,http://newsroom.cisco.com/dlls/fspnisapi4d29.html,USA,Unknown,CSCO,Technology
