symbol,name
SSTK,"Shutterstock, Inc. Common Stock"
FLL,"Full House Resorts, Inc. Common Stock"
SKYT,"SkyWater Technology, Inc. Common Stock"
EIX,Edison International Common Stock
TRINL,Trinity Capital Inc. 7.00% Notes Due 2025
ABR,Arbor Realty Trust Common Stock
CVRX,"CVRx, Inc. Common Stock"
FAT,FAT Brands Inc. Class A Common Stock
BCC,"Boise Cascade, L.L.C. Common Stock"
BIRD,"Allbirds, Inc. Class A Common Stock"
EPM,"Evolution Petroleum Corporation, Inc. Common Stock"
NYCB^U,"New York Community Bancorp, Inc."
BHVN,Biohaven Ltd. Common Shares
GLAC,Global Lights Acquisition Corp Ordinary Shares
BRSP,"BrightSpire Capital, Inc."
KNSA,"Kiniksa Pharmaceuticals International, plc Class A Ordinary Shares"
ECL,Ecolab Inc. Common Stock
NVCR,NovoCure Limited Ordinary Shares
DAY,"Dayforce, Inc. Common Stock"
NTB,Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares
FSFG,"First Savings Financial Group, Inc. Common Stock"
CIO^A,"City Office REIT, Inc."
USAP,"Universal Stainless & Alloy Products, Inc. Common Stock"
LADR,Ladder Capital Corp.
MRNOW,Murano Global Investments PLC Warrants
NBTB,NBT Bancorp Inc. Common Stock
SB^C,"Safe Bulkers, Inc."
EHC,Encompass Health Corporation Common Stock
ASB,Associated Banc-Corp Common Stock
VZIO,VIZIO Holding Corp. Class A Common Stock
WBTN,WEBTOON Entertainment Inc. Common stock
SCCF,Sachem Capital Corp.
PEB^G,Pebblebrook Hotel Trust 6.375% Series G Cumulative Redeemable Preferred Shares of Beneficial Interest
ECCX,Eagle Point Credit Company Inc.
HTLD,"Heartland Express, Inc. Common Stock"
MNTX,"Manitex International, Inc. Common Stock"
CBRG,Chain Bridge I Class A Ordinary Shares
AMP,"Ameriprise Financial, Inc. Common Stock"
HWM,Howmet Aerospace Inc. Common Stock
WING,Wingstop Inc. Common Stock
TVC,Tennessee Valley Authority Common Stock
IPGP,IPG Photonics Corporation Common Stock
BOCN,Blue Ocean Acquisition Corp Class A Ordinary Shares
ALLE,Allegion plc Ordinary Shares
NREF^A,"NexPoint Real Estate Finance, Inc."
TLGY,TLGY Acquisition Corporation Class A Ordinary Share
BGNE,"BeiGene, Ltd. American Depositary Shares"
VRNA,Verona Pharma plc American Depositary Share
PEB^F,Pebblebrook Hotel Trust 6.3% Series F Cumulative Redeemable Preferred Shares of Beneficial Interest
REXR^C,"Rexford Industrial Realty, Inc."
EE,"Excelerate Energy, Inc. Class A Common Stock"
CZFS,"Citizens Financial Services, Inc. Common Stock"
NHTC,Natural Health Trends Corp. Common Stock
ANG^A,"American National Group Inc. Depositary Shares, each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock, Series A"
BCBP,"BCB Bancorp, Inc. (NJ) Common Stock"
PFBC,Preferred Bank Common Stock
PINE,"Alpine Income Property Trust, Inc. Common Stock"
SEDA,SDCL EDGE Acquisition Corporation Class A Ordinary Shares
SPLP^A,"Steel Partners Holdings LP 6.0% Series A Preferred Units, no par value"
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares
HPI,John Hancock Preferred Income Fund Common Shares of Beneficial Interest
TRI,Thomson Reuters Corp Common Shares
RBCAA,"Republic Bancorp, Inc. Class A Common Stock"
L,Loews Corporation Common Stock
BXP,"BXP, Inc. Common Stock."
BXSL,Blackstone Secured Lending Fund Common Shares of Beneficial Interest
CHMI^B,Cherry Hill Mortgage Investment Corporation 8.250% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
DBRG^I,"DigitalBridge Group, Inc."
SLF,Sun Life Financial Inc.
MCW,"Mister Car Wash, Inc. Common Stock"
IMPPP,Imperial Petroleum Inc.
UNM,Unum Group Common Stock
CCEC,Capital Clean Energy Carriers Corp.
ECVT,Ecovyst Inc. Common Stock
EQC^D,Equity Commonwealth 6.50% Pfd Conv Shs Ser D
ATCO^D,Atlas Corp.
SB^D,"Safe Bulkers, Inc Perpetual Preferred Series D (Marshall Islands)"
CDP,COPT Defense Properties Common Shares of Beneficial Interest
KTH,Structures Products Corp.
TRAW,"Traws Pharma, Inc. Common Stock"
CIEN,Ciena Corporation Common Stock
COR,"Cencora, Inc. Common Stock"
TRMB,Trimble Inc. Common Stock
NVEI,Nuvei Corporation Subordinate Voting Shares
AN,"AutoNation, Inc. Common Stock"
FNV,Franco-Nevada Corporation
VIST,Vista Energy S.A.B. de C.V.
DOV,Dover Corporation Common Stock
XFLT,XAI Octagon Floating Rate & Alternative Income Trust Common Shares of Beneficial Interest
MTRN,Materion Corporation
MPV,Barings Participation Investors Common Stock
CINT,CI&T Inc Class A Common Shares
BF/B,Brown Forman Corporation
WEST,Westrock Coffee Company Common Stock
ERH,Allspring Utilities and High Income Fund Common Shares.
NIPG,NIP Group Inc. American Depositary Shares
AGR,"Avangrid, Inc. Common Stock"
FTDR,"Frontdoor, Inc. Common Stock"
DRVN,Driven Brands Holdings Inc. Common Stock
MA,Mastercard Incorporated Common Stock
AACT,Ares Acquisition Corporation II Class A Ordinary Shares
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares
ICFI,"ICF International, Inc. Common Stock"
YMAB,"Y-mAbs Therapeutics, Inc. Common Stock"
TRUP,"Trupanion, Inc. Common Stock"
XOMAP,XOMA Royalty Corporation 8.625% Series A Cumulative Perpetual Preferred Stock
CACI,"CACI International, Inc. Class A Common Stock"
BRKH,BurTech Acquisition Corp.
SVII,Spring Valley Acquisition Corp. II
GECCH,Great Elm Capital Corp.
NGL^B,NGL Energy Partners LP 9.00% Class B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units representing limited partnership interests
SHC,Sotera Health Company Common Stock
COFS,"ChoiceOne Financial Services, Inc. Common Stock"
ESP,Espey Mfg. & Electronics Corp. Common Stock
ARGO^A,"Argo Group International Holdings, Inc."
ADMA,ADMA Biologics Inc Common Stock
GNL^D,"Global Net Lease, Inc."
KEP,Korea Electric Power Corporation Common Stock
BFS,"Saul Centers, Inc. Common Stock"
ACRV,"Acrivon Therapeutics, Inc."
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share)
GNL,"Global Net Lease, Inc. Common Stock"
HYB,"New America High Income Fund, Inc. (The) Common Stock"
SAT,Saratoga Investment Corp 6.00% Notes due 2027
WDFC,WD-40 Company
ACR^C,ACRES Commercial Realty Corp.
ARQT,"Arcutis Biotherapeutics, Inc. Common Stock"
WSFS,WSFS Financial Corporation Common Stock
SXC,"SunCoke Energy, Inc. Common Stock"
NLY^G,Annaly Capital Management Inc
SKT,Tanger Inc. Common Stock
METCL,"Ramaco Resources, Inc."
TFC,Truist Financial Corporation Common Stock
SAMG,Silvercrest Asset Management Group Inc. Class A Common Stock
MHO,"M/I Homes, Inc. Common Stock"
NOMD,Nomad Foods Limited Ordinary Shares
XOMAO,XOMA Royalty Corporation Depositary Shares Rep Series B 8.375% Cumulative Preferred Stock
NURO,"NeuroMetrix, Inc."
OPP,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. Common Stock"
MOS,Mosaic Company (The) Common Stock
GRFS,"Grifols, S.A. American Depositary Shares"
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares
COLB,"Columbia Banking System, Inc. Common Stock"
ENS,EnerSys Common Stock
SLN,Silence Therapeutics Plc American Depository Share
JRS,Nuveen Real Estate Income Fund Common Shares of Beneficial Interest
OCFC,OceanFirst Financial Corp.
THR,"Thermon Group Holdings, Inc. Common Stock"
BBW,"Build-A-Bear Workshop, Inc. Common Stock"
POST,"Post Holdings, Inc. Common Stock"
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share)
TRML,"Tourmaline Bio, Inc. Common Stock"
CVBF,CVB Financial Corporation Common Stock
MNTN,Everest Consolidator Acquisition Corporation Class A Common Stock
ASUR,"Asure Software, Inc Common Stock"
NMIH,NMI Holdings Inc. Common Stock
KINS,"Kingstone Companies, Inc. Common Stock"
IBAC,"IBAC, IB Acquisition Corp. Common Stock"
CRAI,"CRA International, Inc. Common Stock"
CAPNU,Cayson Acquisition Corp Unit
CCIRU,Cohen Circle Acquisition Corp. I Unit
GRAF,Graf Global Corp. Class A ordinary shares
VACHU,Voyager Acquisition Corp Unit
BANL,CBL International Limited Ordinary Shares
SHG,Shinhan Financial Group Co Ltd American Depositary Shares
ANG^B,American National Group Inc.
CCIXU,Churchill Capital Corp IX Unit
LEGT,Legato Merger Corp. III Ordinary Shares
QETA,Quetta Acquisition Corporation Common Stock
BAC,Bank of America Corporation Common Stock
SAJ,Saratoga Investment Corp 8.00% Notes due 2027
AFJK,"Aemie Health Technology Co., Ltd."
AITR,AI Transportation Acquisition Corp.
ESHA,ESH Acquisition Corp. Class A Common Stock
KGC,Kinross Gold Corporation Common Stock
NSTS,"NSTS Bancorp, Inc. Common Stock"
BANF,BancFirst Corporation Common Stock
UE,Urban Edge Properties Common Shares of Beneficial Interest
INVZW,Innoviz Technologies Ltd. Warrant
KF,"Korea Fund, Inc. (The) New Common Stock"
PLMJ,Plum Acquisition Corp. III Class A Ordinary Shares
USB^H,U.S. Bancorp Depositary Shares repging ¹⁄₁₀₀₀th Pfd Ser B
BNTX,BioNTech SE American Depositary Share
RNAC,"Cartesian Therapeutics, Inc. Common Stock"
FSBW,"FS Bancorp, Inc. Common Stock"
STRS,Stratus Properties Inc. Common Stock
SIMA,SIM Acquisition Corp. I Class A Ordinary Shares
AGM^D,Federal Agricultural Mortgage Corporation
ATMV,AlphaVest Acquisition Corp Ordinary Shares
ISRL,Israel Acquisitions Corp Class A Ordinary Shares
PRLH,Pearl Holdings Acquisition Corp Class A Ordinary Shares
ROCL,Roth CH Acquisition V Co. Common Stock
TMTC,TMT Acquisition Corp Ordinary Shares
AURA,"Aura Biosciences, Inc. Common Stock"
LPAA,Launch One Acquisition Corp. Class A Ordinary shares
NETD,Nabors Energy Transition Corp. II Class A Ordinary Shares
PDLB,"Ponce Financial Group, Inc. Common Stock"
AMRN,Amarin Corporation plc
SKGR,SK Growth Opportunities Corporation Class A Common Stock
B,"Barnes Group, Inc. Common Stock"
SAR,Saratoga Investment Corp New
KACL,Kairous Acquisition Corp. Limited Ordinary Shares
KIM^N,"Kimco Realty Corporation Depositary Shares, each representing 1/1,000th interest in a share of 7.25% Class N Cumulative Convertible Perpetual Preferred Stock"
OGS,"ONE Gas, Inc. Common Stock"
EG,"Everest Group, Ltd. Common Stock"
SACC,Sachem Capital Corp.
CIM^B,Chimera Investment Corporation
GECCO,Great Elm Capital Corp. 5.875% Notes due 2026
SNV^D,Synovus Financial Corp.
GIB,CGI Inc. Common Stock
MTG,MGIC Investment Corporation Common Stock
GRBK,"Green Brick Partners, Inc. Common Stock"
CHN,"China Fund, Inc. (The) Common Stock"
WES,"Western Midstream Partners, LP Common Units Representing Limited Partner Interests"
GLADZ,Gladstone Capital Corporation 7.75% Notes due 2028
FCNCA,"First Citizens BancShares, Inc. Class A Common Stock"
IFF,"International Flavors & Fragrances, Inc. Common Stock"
RWAYL,Runway Growth Finance Corp.
STHO,Star Holdings Shares of Beneficial Interest
AX,"Axos Financial, Inc. Common Stock"
LSCC,Lattice Semiconductor Corporation Common Stock
CCOI,"Cogent Communications Holdings, Inc."
BUR,Burford Capital Limited Ordinary Shares
RY,Royal Bank Of Canada Common Stock
QTWO,"Q2 Holdings, Inc."
SGA,"Saga Communications, Inc."
PFE,"Pfizer, Inc. Common Stock"
EPD,Enterprise Products Partners L.P.
MDU,"MDU Resources Group, Inc."
BRC,Brady Corp
SQFTP,"Presidio Property Trust, Inc."
PH,Parker-Hannifin Corporation Common Stock
OXLCZ,Oxford Lane Capital Corp.
ECBK,"ECB Bancorp, Inc. Common Stock"
AWI,Armstrong World Industries Inc Common Stock
PETQ,"PetIQ, Inc. Class A Common Stock"
REFI,"Chicago Atlantic Real Estate Finance, Inc. Common Stock"
PAYX,"Paychex, Inc. Common Stock"
WTW,Willis Towers Watson Public Limited Company Ordinary Shares
UPS,"United Parcel Service, Inc. Common Stock"
WWD,"Woodward, Inc. Common Stock"
FRT,Federal Realty Investment Trust Common Stock
SRL,Scully Royalty Ltd.
FORD,"Forward Industries, Inc. Common Stock"
HUBS,"HubSpot, Inc. Common Stock"
ENTG,"Entegris, Inc. Common Stock"
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares
PAPL,Pineapple Financial Inc.
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares
ORI,Old Republic International Corporation Common Stock
STVN,Stevanato Group S.p.A. Ordinary Shares
SMAR,Smartsheet Inc. Class A Common Stock
CZNC,Citizens & Northern Corp Common Stock
EQC,Equity Commonwealth Common Shares of Beneficial Interest
STWD,"STARWOOD PROPERTY TRUST, INC."
HOND,HCM II Acquisition Corp. Class A Ordinary Shares
RDACU,Rising Dragon Acquisition Corp. Unit
PCG,Pacific Gas & Electric Co.
K,Kellanova Common Stock
LPBBU,Launch Two Acquisition Corp. Unit
PRZO,ParaZero Technologies Ltd. Ordinary Shares
SN,"SharkNinja, Inc. Ordinary Shares"
SCCD,Sachem Capital Corp. 6.00% Notes due 2026
IIIV,"i3 Verticals, Inc."
BDC,Belden Inc Common Stock
RENE,Cartesian Growth Corporation II Class A Ordinary Shares
KEX,Kirby Corporation Common Stock
IPI,"Intrepid Potash, Inc"
TWO^B,Two Harbors Investments Corp
AGNCO,AGNC Investment Corp. Depositary Shares
OCCIO,"OFS Credit Company, Inc."
HWBK,"Hawthorn Bancshares, Inc. Common Stock"
PBI^B,Pitney Bowes Inc 6.70% Notes Due 2043
UCB^I,"United Community Banks, Inc."
TCBI,"Texas Capital Bancshares, Inc. Common Stock"
SXT,Sensient Technologies Corporation Common Stock
WABC,Westamerica Bancorporation Common Stock
MS^E,Morgan Stanley DEPOSITARY SHARES REP 1/1000TH SHARES FIXED/FLTG PREFERRED STOCK SERIES E
EFSC,Enterprise Financial Services Corporation
TEN^E,"Tsakos Energy Navigation Ltd Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares, par value $0.01"
LBRDK,Liberty Broadband Corporation Class C Common Stock
FSUN,FirstSun Capital Bancorp Common Stock
CI,The Cigna Group Common Stock
RCM,R1 RCM Inc. Common Stock
LLYVK,Liberty Media Corporation Series C Liberty Live Common Stock
TWFG,"TWFG, Inc. Class A Common Stock"
CCM,Concord Medical Services Holdings Limited
RMPL^,RiverNorth Capital and Income Fund 5.875%% Series A Term Preferred Stock
FCN,"FTI Consulting, Inc."
HELE,Helen of Troy Limited Common Stock
RDNT,"RadNet, Inc. Common Stock"
RSG,"Republic Services, Inc. Common Stock"
BROS,Dutch Bros Inc. Class A Common Stock
FRME,First Merchants Corporation
LRFC,Logan Ridge Finance Corporation Common Stock
GBBK,Global Blockchain Acquisition Corp. Common Stock
NWN,Northwest Natural Holding Company Common Stock.
CASY,"Casey's General Stores, Inc. Common Stock"
ROG,Rogers Corporation Common Stock
WTFCP,Wintrust Financial Corporation
WHFCL,"WhiteHorse Finance, Inc."
MSBIP,"Midland States Bancorp, Inc."
CEG,Constellation Energy Corporation
BALL,Ball Corporation Common Stock
DTSQ,DT Cloud Star Acquisition Corporation Ordinary Shares
WST,"West Pharmaceutical Services, Inc. Common Stock"
GHG,GreenTree Hospitality Group Ltd.
CMCSA,Comcast Corporation Class A Common Stock
LBRDA,Liberty Broadband Corporation Class A Common Stock
BOOT,"Boot Barn Holdings, Inc. Common Stock"
SAFT,"Safety Insurance Group, Inc. Common Stock"
RWAYZ,Runway Growth Finance Corp.
ESE,ESCO Technologies Inc. Common Stock
IQV,"IQVIA Holdings, Inc. Common Stock"
YHNAU,YHN Acquisition I Limited Unit
HNNAZ,"Hennessy Advisors, Inc. 4.875%"
PFXNZ,PhenixFIN Corporation
GBBKR,Global Blockchain Acquisition Corp. Right
UBXG,U-BX Technology Ltd. Ordinary Shares
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares
FFIEW,Faraday Future Intelligent Electric Inc. Warrant
OPXS,"Optex Systems Holdings, Inc. Common Stock"
LODE,Comstock Inc. Common Stock
ADTX,"Aditxt, Inc. Common Stock"
LIQT,"LiqTech International, Inc. Common Stock"
ADD,"Color Star Technology Co., Ltd. Class A Ordinary Shares"
MTNB,"Matinas Biopharma Holdings, Inc. Common Stock"
GLSTR,"Global Star Acquisition, Inc."
PRG,"PROG Holdings, Inc. Common Stock"
SLRX,"Salarius Pharmaceuticals, Inc. Common Stock"
MIGI,Mawson Infrastructure Group Inc. Common Stock
BKTI,BK Technologies Corporation
MAXN,"Maxeon Solar Technologies, Ltd. Ordinary Shares"
GHRS,GH Research PLC Ordinary Shares
NKGNW,"NKGen Biotech, Inc. Warrants"
UUU,"Universal Security Instruments, Inc. Common Stock"
PTHL,Pheton Holdings Ltd Class A Ordinary Shares
SNSE,"Sensei Biotherapeutics, Inc. Common Stock"
ATNF,180 Life Sciences Corp. Common Stock
FOXO,FOXO Technologies Inc. Class A Common Stock
HIMS,"Hims & Hers Health, Inc. Class A Common Stock"
HTOO,Fusion Fuel Green PLC Class A Ordinary Shares
UIS,Unisys Corporation New Common Stock
BURU,"Nuburu, Inc. Common Stock"
PRFX,PainReform Ltd. Ordinary Shares
QSG,QuantaSing Group Limited American Depositary Shares
WLGS,"Wang & Lee Group, Inc. Ordinary Shares"
SXTP,"60 Degrees Pharmaceuticals, Inc."
MFI,mF International Limited Class A Ordinary Shares
OMEX,"Odyssey Marine Exploration, Inc."
SOGP,Sound Group Inc. American Depositary Shares
GRDI,GRIID Infrastructure Inc. Common Stock
SYRS,"Syros Pharmaceuticals, Inc."
MPLN,MultiPlan Corporation Class A Common Stock
REBN,"Reborn Coffee, Inc."
ZTEK,Zentek Ltd. Common Stock
KAVL,"Kaival Brands Innovations Group, Inc. Common Stock"
BTTR,Better Choice Company Inc. Common Stock
HYLN,Hyliion Holdings Corp. Class A Common Stock
AISPW,"Airship AI Holdings, Inc. Warrants"
BKKT,"Bakkt Holdings, Inc. Class A Common Stock"
BGFV,Big 5 Sporting Goods Corporation Common Stock
FGEN,"FibroGen, Inc."
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares)
ATCH,"AtlasClear Holdings, Inc. Common Stock"
NUVL,"Nuvalent, Inc. Class A Common Stock 
becomes : Nuvalent, Inc."
GRRR,Gorilla Technology Group Inc. Ordinary shares
ADIL,"Adial Pharmaceuticals, Inc Common Stock"
CIFRW,Cipher Mining Inc. Warrant
PWUPW,PowerUp Acquisition Corp. Warrant
ONMDW,OneMedNet Corp Warrant
EDU,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)"
AWH,Aspira Women's Health Inc. Common Stock
SXTC,"China SXT Pharmaceuticals, Inc. Ordinary Shares"
NBIS,Nebius Group N.V. Class A Ordinary Shares
GGR,Gogoro Inc. Ordinary Shares
ARQQW,Arqit Quantum Inc. Warrants
CXAI,CXApp Inc. Class A Common Stock
PGYWW,Pagaya Technologies Ltd. Warrants
GLUE,"Monte Rosa Therapeutics, Inc."
JXJT,JX Luxventure Limited
CLNNW,Clene Inc. Warrant
HPH,Highest Performances Holdings Inc. American Depository Shares
CSBR,"Champions Oncology, Inc. Common Stock"
FAASW,DigiAsia Corp. Warrant
WLDS,Wearable Devices Ltd. Ordinary Share
PGY,Pagaya Technologies Ltd. Class A Ordinary Shares
EZFL,"EzFill Holdings, Inc. Common Stock"
IGMS,"IGM Biosciences, Inc. Common Stock"
CIA,"Citizens, Inc. Class A Common Stock ($1.00 Par)"
ELEV,"Elevation Oncology, Inc. Common Stock"
PROK,ProKidney Corp. Class A Ordinary Shares
HCWB,HCW Biologics Inc. Common Stock
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland)
SNPX,"Synaptogenix, Inc. Common Stock"
AIFF,"Firefly Neuroscience, Inc. Common Stock"
PTPI,"Petros Pharmaceuticals, Inc. Common Stock"
BSLK,"Bolt Projects Holdings, Inc. Common Stock"
TYGO,"Tigo Energy, Inc. Common Stock"
DUO,Fangdd Network Group Ltd. Class A Ordinary Shares
PEV,Phoenix Motor Inc.
SISI,"Shineco, Inc. Common Stock"
QUBT,Quantum Computing Inc. Common Stock
NWTN,NWTN Inc. Class B Ordinary Shares
AUID,authID Inc. Common Stock
CYTHW,"Cyclo Therapeutics, Inc. Warrant"
RVSN,Rail Vision Ltd. Ordinary Share
SDSTW,Stardust Power Inc. Warrant
MYSZ,"My Size, Inc. Common Stock"
ZENA,"ZenaTech, Inc. Common Stock"
NIU,Niu Technologies American Depositary Shares
EDAP,EDAP TMS S.A. American Depositary Shares
ZKIN,"ZK International Group Co., Ltd."
JVA,"Coffee Holding Co., Inc. Common Stock"
AIRS,"AirSculpt Technologies, Inc. Common Stock"
AMBI,Ambipar Emergency Response Class A Ordinary Shares
LCFY,Locafy Limited Ordinary Share
MLGO,"MicroAlgo, Inc. Ordinary Shares"
EONR,EON Resources Inc. Class A Common Stock
OP,OceanPal Inc. Common Stock
EVGN,Evogene Ltd Ordinary Shares
IRON,"Disc Medicine, Inc."
EMKR,EMCORE Corporation Common Stock
SES,SES AI Corporation Class A Common Stock
ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares
PRQR,ProQR Therapeutics N.V. Ordinary Shares
LYT,Lytus Technologies Holdings PTV. Ltd. Common Shares
CLIK,Click Holdings Limited Ord Shs
DRMA,"Dermata Therapeutics, Inc. Common Stock"
LTRY,"Lottery.com, Inc. Common Stock"
BROG,Brooge Energy Limited Ordinary Shares
VIOT,"Viomi Technology Co., Ltd American Depositary Shares"
BDTX,"Black Diamond Therapeutics, Inc. Common Stock"
BWLP,BW LPG Limited Common Shares
WW,"WW International, Inc. Common Stock"
MGOL,MGO Global Inc.
ELWS,"Earlyworks Co., Ltd. American Depositary Shares"
GCT,GigaCloud Technology Inc
ADVWW,Advantage Solutions Inc. Warrant
IGTAW,Inception Growth Acquisition Limited Warrants
EYPT,"EyePoint Pharmaceuticals, Inc. Common Stock"
LICY,Li-Cycle Holdings Corp.
VVPR,VivoPower International PLC Ordinary Shares
LUCY,"Innovative Eyewear, Inc. Common Stock"
NKGN,"NKGen Biotech, Inc. Common Stock"
AVPTW,"AvePoint, Inc. Warrant 
(A note on 'is_warrant': 1)"
CDXS,"Codexis, Inc. Common Stock"
MSS,"Maison Solutions Inc. Class A Common Stock 
 Company Name should be either Ticker Symbol's prefix which is 'MSS' or full name but commonly used as Ticker prefix is utilized in this format so results output would be the company name: MSS - Maison Solutions Inc. Class A Common Stock"
TCS,Container Store (The) Common Stock
PLL,Piedmont Lithium Inc. Common Stock
PRCH,"Porch Group, Inc. Common Stock"
ALMS,Alumis Inc. Common Stock
TPIC,"TPI Composites, Inc. Common Stock"
AADI,"Aadi Bioscience, Inc. Common Stock"
OPFI,OppFi Inc. Class A Common Stock
NVVEW,Nuvve Holding Corp. Warrant
MANH,"Manhattan Associates, Inc. Common Stock"
SKYQ,Sky Quartz Inc. Common Stock
CNEY,CN Energy Group Inc. Class A Ordinary Shares
WBX,Wallbox N.V. Class A Ordinary Shares
MSGM,Motorsport Games Inc. Class A Common Stock
BE,Bloom Energy Corporation Class A Common Stock.
HIHO,Highway Holdings Limited Common Stock
RGS,Regis Corporation Common Stock
SHPH,"Shuttle Pharmaceuticals Holdings, Inc. Common Stock"
LUNRW,"Intuitive Machines, Inc. Warrants"
NKLA,Nikola Corporation Common Stock
LSH,Lakeside Holding Limited Common Stock
ANRO,"Alto Neuroscience, Inc. Common Stock"
PC,Premium Catering (Holdings) Limited Ordinary Shares
PAVMZ,PAVmed Inc. Series Z Warrant
APPS,"Digital Turbine, Inc. Common Stock"
NKTX,"Nkarta, Inc. Common Stock"
ITP,"IT Tech Packaging, Inc. Common Stock"
TSBX,Turnstone Biologics Corp.
BAER,"Bridger Aerospace Group Holdings, Inc. Common Stock"
AMIX,"Autonomix Medical, Inc. Common Stock"
ASC,Ardmore Shipping Corporation Common Stock
HPKEW,"HighPeak Energy, Inc. Warrant"
INM,InMed Pharmaceuticals Inc. Common Shares
GDHG,Golden Heaven Group Holdings Ltd. Class A Ordinary Shares
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares
NRGV,"Energy Vault Holdings, Inc. Common Stock"
GPRE,Green Plains Inc.
LAES,SEALSQ Corp Ordinary Shares
SDIG,"Stronghold Digital Mining, Inc. Class A Common Stock"
TREE,"LendingTree, Inc. Common Stock"
PRLD,Prelude Therapeutics Incorporated Common Stock
VSEEW,Vsee Health Inc Warrant
BRNS,Barinthus Biotherapeutics plc American Depositary Shares
OUST,"Ouster, Inc. Common Stock"
TERN,"Terns Pharmaceuticals, Inc. Common Stock"
SBSW,"Sibanye-Stillwater Limited ADS 
D/B/A"
ALDX,"Aldeyra Therapeutics, Inc."
ORGO,Organogenesis Holdings Inc. Class A Common Stock
SBEV,"Splash Beverage Group, Inc. (NV) Common Stock"
TROO,"TROOPS, Inc. Ordinary Shares"
SMX,SMX (Security Matters) Public Limited Company Class A Ordinary Shares
SILO,"Silo Pharma, Inc. Common Stock"
OCFT,"OneConnect Financial Technology Co., Ltd."
ENVX,Enovix Corporation Common Stock
APRE,"Aprea Therapeutics, Inc."
OPAD,Offerpad Solutions Inc. Class A Common Stock
SMSI,"Smith Micro Software, Inc."
JZ,Jianzhi Education Technology Group Company Limited American Depositary Shs
TNXP,Tonix Pharmaceuticals Holding Corp. Common Stock
ARM,Arm Holdings plc American Depositary Shares
ECX,ECARX Holdings Inc.
WTO,UTime Limited Ordinary Shares
CNVS,Cineverse Corp. Class A Common Stock
ADCT,ADC Therapeutics SA Common Shares
LIFW,"MSP Recovery, Inc. Class A Common Stock"
EAST,"Eastside Distilling, Inc. Common Stock"
EU,enCore Energy Corp.
IONR,ioneer Ltd American Depositary Shares
SERV,Serve Robotics Inc. Common Stock
TTOO,"T2 Biosystems, Inc. Common Stock"
EVR,Evercore Inc. Class A Common Stock
MRVI,"Maravai LifeSciences Holdings, Inc. Class A Common Stock"
FNA,"Paragon 28, Inc. Common Stock"
IREN,Iris Energy Limited Ordinary Shares
GUTS,"Fractyl Health, Inc."
EPIX,ESSA Pharma Inc. Common Stock
BBAI,"BigBear.ai, Inc."
PMVP,"PMV Pharmaceuticals, Inc./Common Stock"
GWH,"ESS Tech, Inc. Common Stock"
SA,"Seabridge Gold, Inc. Ordinary Shares (Canada)"
XPON,Expion360 Inc. Common Stock
ATRA,"Atara Biotherapeutics, Inc."
IINNW,Inspira Technologies Oxy B.H.N. Ltd.
KGEI,Kolibri Global Energy Inc. Common Stock
PHIO,Phio Pharmaceuticals Corp. Common Stock
VFS,VinFast Auto Ltd. Ordinary Shares
KDLYW,"Kindly MD, Inc. Warrants"
HCAT,"Health Catalyst, Inc Common Stock"
SPWH,"Sportsman's Warehouse Holdings, Inc. Common Stock"
OMIC,"Singular Genomics Systems, Inc. Common Stock"
CIFR,Cipher Mining Inc. Common Stock
CHCI,"Comstock Holding Companies, Inc."
GREE,Greenidge Generation Holdings Inc.
HOWL,"Werewolf Therapeutics, Inc. Common Stock"
PLUG,"Plug Power, Inc. Common Stock"
ZJYL,Jin Medical International Ltd.
NVX,NOVONIX Limited American Depository Shares
BYON,"Beyond, Inc. Common Stock"
NNOX,NANO-X IMAGING LTD Ordinary Shares
YXT,YXT.COM GROUP HOLDING LIMITED AMERICAN DEPOSITORY SHARES
XYLO,Xylo Technologies Ltd. American Depositary Shares
TWST,Twist Bioscience Corporation Common Stock
ZAPP,Zapp Electric Vehicles Group Limited Ordinary Shares
TIGR,UP Fintech Holding Ltd
BITF,Bitfarms Ltd. Common Stock
